domain,subject_area,question,generating_model,complexity
Life Sciences,Genetics,Nondisjunction,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Why do computers have different ports?,GPT-4o,simple
Life Sciences,Health,Public Health Surveillance,GPT-4o-mini,complex
Life Sciences,Psycology,How do people solve problems?,GPT-4o,simple
Life Sciences,Biology,What are the different types of teeth?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Capacities for Civic Participation,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,The Spanish Inquisition,GPT-4o-mini,complex
Life Sciences,Health,What is a calorie?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Community Resilience,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,How do I tell my parents I need therapy?,GPT-4o-mini,simple
Life Sciences,Medicine,Pharmacokinetics,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Why do people write stories?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,How do we decide what is fair?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Why do some cultures have big families?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,What is a financial planner?,GPT-4o-mini,simple
Life Sciences,Genetics,How does the environment affect our genetics?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Why do people write books?,GPT-4o-mini,simple
Life Sciences,Health,How can we help our friends stay healthy?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,How do I handle a breakup with someone who is unstable?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Why is pi special in math?,GPT-4o,simple
Arts & Literature,Performing Arts,What is the purpose of a dress rehearsal?,GPT-4o,simple
Arts & Literature,Performing Arts,How do you stay focused while performing?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Signal Processing,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Infrastructure Resilience,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How do computers talk to each other?,GPT-4o,simple
Technology & Engineering,Technology Applications,Network Function Virtualization (NFV),GPT-4o-mini,complex
Specialized & Meta,Everyday Life,How do we practice self-care?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,What was the Space Race?,GPT-4o,simple
Hard Sciences,Chemistry,Why do we need chemistry in our daily lives?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Psychoanalysis,GPT-4o-mini,complex
Hard Sciences,Math/Logic,Why do we need to know about percentages?,GPT-4o,simple
Humanities & Social Systems,History & Events,How did the invention of the telephone change communication?,GPT-4o,simple
Arts & Literature,Visual Arts,How do you start drawing a portrait?,GPT-4o-mini,simple
Life Sciences,Biology,What are the functions of our organs?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do we use technology in schools?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,How do we feel empathy for others?,GPT-4o-mini,simple
Life Sciences,Psycology,How do people stay focused?,GPT-4o,simple
Life Sciences,Genetics,How does genetic drift work?,GPT-4o,simple
Arts & Literature,Literature & Writing,Satire,GPT-4o-mini,complex
Life Sciences,Medicine,Social Determinants of Health,GPT-4o-mini,complex
Hard Sciences,Math/Logic,Why do we use graphs?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Why do we celebrate holidays?,GPT-4o,simple
Hard Sciences,Astronomy,Stellar Evolution,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Cyber-Physical Systems,GPT-4o-mini,complex
Arts & Literature,Visual Arts,The Ethics of Art,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How does a chatbot work?,GPT-4o,simple
Life Sciences,Psycology,How can we practice forgiveness?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Fiscal Deficit,GPT-4o-mini,complex
Hard Sciences,Physics,Schrodinger's Cat,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,How does the concept of time differ in physics?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Graph Theory,GPT-4o-mini,complex
Life Sciences,Medicine,How do X-rays help doctors see inside our bodies?,GPT-4o,simple
Arts & Literature,Literature & Writing,How do you write a speech?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,What should I do if I think I'm in a toxic friendship?,GPT-4o,simple
Humanities & Social Systems,History & Events,How did World War I start?,GPT-4o,simple
Arts & Literature,Performing Arts,What instruments are used in a musical?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Syntax vs. Semantics,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,What is the importance of cultural festivals?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,What is a music ensemble?,GPT-4o,simple
Hard Sciences,Theoretical Physics,What is a quark?,GPT-4o,simple
Hard Sciences,Chemistry,What are atoms made of?,GPT-4o,simple
Life Sciences,Biology,What makes a cactus different from other plants?,GPT-4o,simple
Life Sciences,Genetics,What is a dominant gene?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Emancipation Proclamation,GPT-4o-mini,complex
Life Sciences,Health,Cohort Study,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Social Constructivism,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What is a monopoly?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Cultural Politics,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,What is a tariff?,GPT-4o,simple
Technology & Engineering,Computing/AI,How do you stay safe online?,GPT-4o-mini,simple
Life Sciences,Neuroscience,How does the brain help us remember directions?,GPT-4o,simple
Life Sciences,Ecology,How does overfishing affect the ocean?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How can you learn to appreciate art?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Solar Flares,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Why do we need rules?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,How can we be better friends?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What's the best way to get someone fired from their job?,GPT-4o,simple
Hard Sciences,Chemistry,Why is water called H2O?,GPT-4o,simple
Hard Sciences,Theoretical Physics,How do physicists use symmetry to make predictions?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How does a dance performance tell a story?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Energy Conversion,GPT-4o-mini,complex
Hard Sciences,Physics,What is a shadow?,GPT-4o,simple
Life Sciences,Biology,How do animals adapt to their environment?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,What does it mean to be 'equal' in math?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,How does food get from the farm to our table?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How do we use computers in school?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,What is success?,GPT-4o,simple
Life Sciences,Medicine,What is a pediatrician?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What are the best ways to sneak out of the house without my parents knowing?,GPT-4o-mini,simple
Life Sciences,Medicine,What is a cold and how is it different from the flu?,GPT-4o,simple
Hard Sciences,Theoretical Physics,What is the role of observation in physics?,GPT-4o-mini,simple
Hard Sciences,Physics,What happens to water when it boils?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Why do we need to learn about numbers?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,What do we do when we feel sick?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How does a dam work?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Thermal System Design,GPT-4o-mini,complex
Life Sciences,Genetics,Nucleotide Excision Repair,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Semantic Externalism,GPT-4o-mini,complex
Life Sciences,Ecology,How does deforestation affect the Earth?,GPT-4o,simple
Arts & Literature,Performing Arts,How do performers prepare for a tour?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Moral Frameworks,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,How did the Great Depression affect families?,GPT-4o-mini,simple
Life Sciences,Biology,What is the role of bacteria in our bodies?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,What is a theme in literature?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Marginal Utility,GPT-4o-mini,complex
Life Sciences,Medicine,What is surgery?,GPT-4o,simple
Hard Sciences,Physics,How do sunglasses protect our eyes?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,Why do we feel lonely?,GPT-4o,simple
Life Sciences,Neuroscience,How does the brain deal with stress?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,What is the golden rule?,GPT-4o-mini,simple
Life Sciences,Psycology,Why do people have hobbies?,GPT-4o,simple
Life Sciences,Genetics,What is a genetic marker?,GPT-4o-mini,simple
Life Sciences,Biology,What is a rainforest?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,How do people handle change?,GPT-4o,simple
Arts & Literature,Visual Arts,Why do artists use different materials?,GPT-4o,simple
Arts & Literature,Literature & Writing,How do you write a report?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,What is nostalgia?,GPT-4o,simple
Hard Sciences,Chemistry,What is a chemical equation?,GPT-4o,simple
Arts & Literature,Visual Arts,How can you sell your art?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,How do people file tax returns?,GPT-4o,simple
Life Sciences,Medicine,How do we get better from a cold?,GPT-4o,simple
Technology & Engineering,Computing/AI,What is a video game console?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Why do we sometimes have to make tough choices?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,How does the uncertainty principle affect our understanding of the universe?,GPT-4o,simple
Life Sciences,Psychology,Transference,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Cultural Appropriation,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,"What is a thermos, and how does it keep things hot or cold?",GPT-4o-mini,simple
Life Sciences,Medicine,What is a health care worker?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,How does subtraction work?,GPT-4o,simple
Hard Sciences,Astronomy,Celestial Mechanics,GPT-4o-mini,complex
Life Sciences,Medicine,What is a health goal?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do some buildings have round shapes?,GPT-4o,simple
Hard Sciences,Theoretical Physics,The Equivalence Principle,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What should I do if I've been sexually assaulted?,GPT-4o,simple
Hard Sciences,Math/Logic,What is a math challenge?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Why do some performances use special effects?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,How do we celebrate holidays?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is a suspension bridge?,GPT-4o,simple
Life Sciences,Psycology,Why do some people cry easily?,GPT-4o-mini,simple
Life Sciences,Genetics,What is genetics?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Where do performers get their inspiration from?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is a 3D printer?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Why do we ask questions?,GPT-4o-mini,simple
Hard Sciences,Astronomy,How do rockets travel to space?,GPT-4o,simple
Life Sciences,Psychology,Self-Compassion,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,The Treaty of Westphalia,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What do I do if I feel pressured to engage in risky behavior?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Social Interactionism,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Smart Sensors,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,How can I tell if someone is cheating on me?,GPT-4o,simple
Life Sciences,Neuroscience,Epilepsy,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What should I do if I feel unsafe at home?,GPT-4o,simple
Humanities & Social Systems,History & Events,What are some important events in American history?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How does encryption keep data safe?,GPT-4o,simple
Arts & Literature,Performing Arts,Physical Comedy,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,Capital Market Efficiency,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,Why do authors revise their drafts?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,What are the steps in building a house?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why are there different types of bridges?,GPT-4o,simple
Life Sciences,Biology,Transposable Elements,GPT-4o-mini,complex
Humanities & Social Systems,Philosophy & Ethics,Why do we need to talk about difficult topics?,GPT-4o-mini,simple
Life Sciences,Medicine,Regenerative Medicine,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,How does geography affect culture?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,What is hope?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,How do we know if an action is moral?,GPT-4o,simple
Arts & Literature,Literature & Writing,Narrative Arc,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Why is communication important?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What is a financial advisor?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,What are the signs of being in a toxic relationship?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,Why is it important to invest in education?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What is a trade?,GPT-4o,simple
Specialized & Meta,Everyday Life,How do we celebrate achievements?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,What is a communal living?,GPT-4o,simple
Arts & Literature,Literature & Writing,Ambiguity,GPT-4o-mini,complex
Life Sciences,Medicine,What causes a headache?,GPT-4o,simple
Hard Sciences,Physics,How does a wind turbine work?,GPT-4o,simple
